actual_ramp_deviation,algorithm,condition,epsilon_sum,evaluation_seed,evaluations,event_id,event_type,exceedance_probability_any,execution_days,expected_forced_spill_1e8m3,f1,f2,f3,factor,hard_physical_violation,interpretation,lookahead_days,max_control_q_m3s,max_q_safe_ratio,minimum_safety_margin_m3s,n_random_scenarios,operational_deviation,optimizer_seed,peak_reduction_pct,physical_violation,plan_constraint_violation,planning_all_feasible,probability_ci_high,probability_ci_low,profile,publication_ready,run_id,scenario_seed,seconds,seed_index,stage,strategy,tail_peak_ratio_cvar95,variant,water_curtailment
0.0025720808636393575,MOABC,matched,0.05,574942562,88000,P02,cluster,0.0,22,7.9382171406092645,0.0,11.71553299160659,0.012720734589187708,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54513.25101865329,0.9614329985653137,2186.748981346711,512,0.13187025838395328,3887991230,-30.759849201252898,0.13187025838395328,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_lag_guidance_MOABC_s00,2687735713,719.6924133002758,0,ablation,full_method,0.722121826781903,no_lag_guidance,0.13187025838395328
0.010827546408317278,MOABC,matched,0.05000000000000003,1568371521,88000,P02,cluster,0.0,22,6.331133521749987,0.0,10.22110478519659,0.013910814150497655,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54329.524874124254,0.9581926785559833,2370.475125875746,512,0.1307209261023053,1699465598,-20.552922056303842,0.1307209261023053,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_lag_guidance_MOABC_s01,3310636222,725.1141172996722,1,ablation,full_method,0.7131475773655537,no_lag_guidance,0.1307209261023053
0.027042361013273914,MOABC,matched,0.05000000000000002,1109274671,88000,P02,cluster,0.001953125,22,6.335768326611032,4.654051816866023e-05,10.865142870888228,0.012540578328594508,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,58186.19884450782,1.0262116198325895,-1486.1988445078168,512,0.1654267091220966,2339750876,-18.72035817484275,0.1654267091220966,0.0,True,0.010833656944754506,4.944762114539529e-05,screening,False,P02_matched_full_method_no_lag_guidance_MOABC_s02,2428614473,699.2233196999878,2,ablation,full_method,0.7272108049954736,no_lag_guidance,0.1654267091220966
0.024773413713593262,MOABC,matched,0.050000000000000024,397350824,88000,P02,cluster,0.0,22,5.393572874500462,0.0,10.826140034455342,0.01805231217156725,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,49027.17838259903,0.8646768674179722,7672.821617400972,512,0.1539747260849705,2068408997,-16.894642811665417,0.1539747260849705,1.774623808337421e-17,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_lag_guidance_MOABC_s03,743548165,672.7367043998092,3,ablation,full_method,0.7127651037447512,no_lag_guidance,0.1539747260849705
0.0,MOABC,matched,0.05000000000000001,2727349570,88000,P02,cluster,0.0,22,8.892208080340723,0.0,12.82537872249257,0.015225064909441387,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,51059.69776996816,0.900523770193442,5640.302230031841,512,0.11146380478636124,4102810800,-22.874906879884353,0.11146380478636124,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_lag_guidance_MOABC_s04,2506987846,708.4917024997994,4,ablation,full_method,0.8116505959077366,no_lag_guidance,0.11146380478636124
0.0,MOABC,matched,0.05,574942562,88000,P02,cluster,0.0,22,7.256869993171202,0.0,12.267457169137977,0.02193056189658868,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,50455.675145747635,0.889870813857983,6244.324854252365,512,0.1015303166314856,3887991230,-21.027022790253557,0.1015303166314856,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_warm_start_MOABC_s00,2687735713,658.5236297999509,0,ablation,full_method,0.7199192117225361,no_warm_start,0.1015303166314856
0.005851688923679786,MOABC,matched,0.05,1568371521,88000,P02,cluster,0.0,22,6.206456786505412,0.0,11.790675388963761,0.021236860949891107,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,54085.194431269614,0.9538834996696581,2614.805568730386,512,0.14221797518346585,1699465598,-20.010772112940977,0.14221797518346585,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_warm_start_MOABC_s01,3310636222,712.521884100046,1,ablation,full_method,0.7639290536552699,no_warm_start,0.14221797518346585
0.04061848316564616,MOABC,matched,0.04999999999999999,1109274671,88000,P02,cluster,0.0,22,5.950677909261588,0.0,10.556670795410515,0.02584965214345621,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,53629.054288203624,0.9458386999683179,3070.9457117963757,512,0.17702703162253486,2339750876,-9.422176737956606,0.17702703162253486,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_warm_start_MOABC_s02,2428614473,676.2361521003768,2,ablation,full_method,0.7359928095246143,no_warm_start,0.17702703162253486
0.027389004060520843,MOABC,matched,0.04999999999999999,397350824,88000,P02,cluster,0.0,22,6.13165321028497,0.0,11.536346378727757,0.027932827108661105,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,48953.217161560184,0.8633724367118198,7746.782838439816,512,0.15053082029296472,2068408997,-16.718298367614793,0.15053082029296472,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_warm_start_MOABC_s03,743548165,708.6412357003428,3,ablation,full_method,0.7822462731923728,no_warm_start,0.15053082029296472
0.004688844915253334,MOABC,matched,0.05000000000000001,2727349570,88000,P02,cluster,0.0,22,6.265937284036843,0.0,10.744264089751027,0.02012981270840721,3.25,0.0,held_out_replay_of_fixed_executed_schedule,7,52333.95693401246,0.9229974767903432,4366.043065987542,512,0.12963516092804778,4102810800,-25.94140517425685,0.12963516092804778,0.0,True,0.007178950026259454,0.0,screening,False,P02_matched_full_method_no_warm_start_MOABC_s04,2506987846,684.7921718000434,4,ablation,full_method,0.7051923307089873,no_warm_start,0.12963516092804778
0.029048116528724317,MOABC,matched,0.05,4060196048,68000,P03,cluster,0.029296875,17,2.725738667562963,0.021620640715484352,6.2863007307623295,0.03584577655649929,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,94304.81752612525,1.6632242949933906,-37604.81752612525,512,0.17625805391370938,123201614,-2.1150596459942843,0.17625805391370938,0.0,False,0.04786087313588519,0.01648801460911842,screening,False,P03_matched_full_method_full_MOABC_s00,2882909151,505.82451999979094,0,ablation,full_method,1.112424156204585,full,0.17625805391370938
0.04186047564715065,MOABC,matched,0.05,3272684868,68000,P03,cluster,0.0234375,17,2.7906836945092044,0.014286862898450136,4.911986856537096,0.031186633288977316,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,83782.56278618734,1.4776466099856673,-27082.562786187336,512,0.20095628706320365,3286126663,-13.550859833303633,0.20095628706320365,0.0,False,0.040582439140948286,0.012167790534685311,screening,False,P03_matched_full_method_full_MOABC_s01,3819462166,507.28340419987217,1,ablation,full_method,1.055014849504231,full,0.20095628706320365
0.039711186804642924,MOABC,matched,0.05000000000000001,1989384750,68000,P03,cluster,0.015625,17,1.687307700706728,0.007298800916655821,3.597541589511336,0.036247789109586176,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,84437.51888359361,1.4891978639081767,-27737.518883593613,512,0.15444272354224295,2404466325,-1.4576477764210882,0.15444272354224295,0.0,False,0.030554414950524595,0.006769276942972373,screening,False,P03_matched_full_method_full_MOABC_s02,2924272080,512.6223418000154,2,ablation,full_method,1.0127659391781965,full,0.15444272354224295
0.0843009376137977,MOABC,matched,0.05,379777378,68000,P03,cluster,0.021484375,17,2.721151855240334,0.022693027458925232,5.771508590604867,0.028671653795509164,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,97810.8916941026,1.7250598182381411,-41110.8916941026,512,0.16152103847179428,1492915544,-0.9269024383603799,0.16152103847179428,0.0,False,0.0381157716754838,0.01077255408609197,screening,False,P03_matched_full_method_full_MOABC_s03,1635011324,490.4505353998393,3,ablation,full_method,1.058176136231553,full,0.16152103847179428
0.0354043365287334,MOABC,matched,0.05000000000000001,1357363921,68000,P03,cluster,0.02734375,17,3.419600177770266,0.018057859455770018,4.484122303150524,0.040761661474521024,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,90430.72055385685,1.5948980697329251,-33730.72055385685,512,0.20979261650446004,2648893410,-5.067151330955822,0.20979261650446004,0.0,False,0.04545291098745593,0.015027969215664629,screening,False,P03_matched_full_method_full_MOABC_s04,4117655867,541.4855532003567,4,ablation,full_method,1.082486503867913,full,0.20979261650446004
0.012445752181310317,MOABC,matched,0.04999999999999999,4060196048,68000,P03,cluster,0.033203125,17,3.5320487929080966,0.023891711786455293,5.121719914195539,0.03196484136212537,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,95200.47051055613,1.6790206439251523,-38500.47051055613,512,0.16175179493624245,123201614,-3.0848898235664457,0.16175179493624245,0.0,False,0.052630293172314914,0.01945868698795646,screening,False,P03_matched_full_method_no_adaptive_operator_MOABC_s00,2882909151,497.98323719995096,0,ablation,full_method,1.1367005237482835,no_adaptive_operator,0.16175179493624245
0.07201761991015118,MOABC,matched,0.049999999999999996,3272684868,68000,P03,cluster,0.015625,17,1.9762418233913823,0.005209493425767992,3.8366993447562057,0.03958790355036505,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,76308.24897768997,1.3458244969610225,-19608.248977689975,512,0.22812243546112582,3286126663,-3.420890882786741,0.22812243546112582,1.9350951101551666e-17,False,0.030554414950524595,0.006769276942972373,screening,False,P03_matched_full_method_no_adaptive_operator_MOABC_s01,3819462166,509.336493300274,1,ablation,full_method,0.9938513366325415,no_adaptive_operator,0.22812243546112582
0.005936323861804189,MOABC,matched,0.04999999999999999,1989384750,68000,P03,cluster,0.0390625,17,3.2745868670918066,0.017759866312446033,5.802550001362459,0.03921326825456798,2.25,0.0,held_out_replay_of_fixed_executed_schedule,7,92533.85105538386,1.631990318437105,-35833.85105538386,512,0.1391053975782492,2404466325,-11.185963205713119,0.1391053975782492,1.8217949677962628e-17,False,0.05968598191731192,0.024020809593503667,screening,False,P03_matched_full_method_no_adaptive_operator_MOABC_s02,2924272080,501.7829750003293,2,ablation,full_method,1.1444968990075919,no_adaptive_operator,0.1391053975782492
