condition,event_id,exceedance_probability_any_count,exceedance_probability_any_mean,exceedance_probability_any_std,f1_count,f1_mean,f1_std,f2_count,f2_mean,f2_std,f3_count,f3_mean,f3_std,factor,hard_physical_violation_count,hard_physical_violation_mean,hard_physical_violation_std,max_q_safe_ratio_count,max_q_safe_ratio_mean,max_q_safe_ratio_std,minimum_safety_margin_m3s_count,minimum_safety_margin_m3s_mean,minimum_safety_margin_m3s_std,operational_deviation_count,operational_deviation_mean,operational_deviation_std,peak_reduction_pct_count,peak_reduction_pct_mean,peak_reduction_pct_std,plan_constraint_violation_count,plan_constraint_violation_mean,plan_constraint_violation_std,seconds_count,seconds_mean,seconds_std,strategy,tail_peak_ratio_cvar95_count,tail_peak_ratio_cvar95_mean,tail_peak_ratio_cvar95_std
normal,P03,5,0.0,0.0,5,0.0,0.0,5,3.467622811417976,0.41607215063139114,5,0.03219920764843934,0.006117498838568944,1.0,5,0.0,0.0,5,0.5270903978724413,0.0746071943033809,5,26813.97444063258,4230.227917001697,5,0.09397784481917304,0.03699631105061394,5,3.4651759692313155,12.783381980248528,5,7.779455531897764e-18,1.0720258851798937e-17,5,444.33919778000563,8.244246764831674,dynamic_budget,5,0.5270903978724413,0.0746071943033809
normal,P03,5,0.0,0.0,5,0.0,0.0,5,3.467622811417976,0.41607215063139114,5,0.03219920764843934,0.006117498838568944,1.0,5,0.0,0.0,5,0.5270903978724413,0.0746071943033809,5,26813.97444063258,4230.227917001697,5,0.09397784481917304,0.03699631105061394,5,3.4651759692313155,12.783381980248528,5,7.779455531897764e-18,1.0720258851798937e-17,5,434.57586424001494,13.553902276609493,fixed_budget,5,0.5270903978724413,0.0746071943033809
normal,P03,5,0.0,0.0,5,0.0,0.0,5,3.133171405561428,0.49996218036706747,5,0.01908546422660156,0.005509833640245623,1.0,5,0.0,0.0,5,0.47889322696325143,0.055277201227040315,5,29546.754031183642,3134.2173095731873,5,0.07979743816527303,0.02316438462246187,5,12.20049357246853,10.391349473327335,5,7.287409152938418e-18,9.984282611687226e-18,5,467.8644720399752,13.160466705443307,full_method,5,0.47889322696325143,0.05527720122704034
normal,P03,5,0.0,0.0,5,0.0,0.0,5,3.143074831291899,0.07958813125475554,5,0.028938904939380346,0.0035463514629255257,1.0,5,0.0,0.0,5,0.4998691384998401,0.03920527050580722,5,28357.419847059064,2222.938837679268,5,0.0813299712811643,0.021082380950257266,5,8.426166314104584,6.286828756964874,5,3.5492476166748416e-18,7.936358939864061e-18,5,438.9650557800196,12.457270284505954,no_budget,5,0.4998691384998401,0.03920527050580722
matched,P04,5,0.068359375,0.018112536124015047,5,0.05494611857137197,0.015008412083319437,5,12.44738899048737,6.100695473544104,5,0.049206670011875855,0.0038606750050692307,18.0,5,0.0022118202838521993,0.0049457805087063985,5,1.6428186648735448,0.12666842665158703,5,-36447.818298329985,7182.09979114498,5,0.24090487217768644,0.027559412855558504,5,-1.978252672499675,4.520232675228618,5,1.1611959387079023e-17,1.0658546492877129e-17,5,443.872937399894,10.73318134037729,dynamic_budget,5,1.2821993994867666,0.05646351057946961
matched,P04,5,0.072265625,0.01784733093993854,5,0.06347993646658354,0.01303231811129712,5,10.352447995485784,2.027133619691484,5,0.04029140534666518,0.0035988002482834213,18.0,5,0.0015035354103065358,0.0033620073840234517,5,1.640212219267432,0.12566048716337783,5,-36300.0328324634,7124.949622163521,5,0.214831194489284,0.01993096634208247,5,-1.808673974880789,4.238067349140467,5,4.230207915222922e-18,9.459032457396119e-18,5,459.27492009997366,13.068301661605727,fixed_budget,5,1.3026307413115625,0.0553441812270758
matched,P04,5,0.070703125,0.017868692205441686,5,0.05673898985069141,0.012290877794401855,5,12.498273000177635,4.185917717063923,5,0.03562199289419591,0.008093534771874281,18.0,5,0.00032493277707449503,0.0007265717776563562,5,1.6225596722466686,0.1333751251332443,5,-35299.13341638611,7562.36959505495,5,0.2456006655883436,0.04046232977064529,5,-0.6832741836576316,4.371329689942919,5,0.0,0.0,5,483.6678479200229,31.250504468900626,full_method,5,1.2778623427935125,0.04679559856567271
matched,P04,5,0.221484375,0.3776749888684673,5,0.04699871248681271,0.014653929640858286,5,7.084133423730899,1.675095871241886,5,0.036214813672321634,0.0037475333334366194,18.0,5,0.0,0.0,5,1.6169434025587766,0.12090087953171459,5,-34980.690925082636,6855.079869448219,5,0.2453971530001052,0.02130425438944311,5,-0.33396056160932297,2.6930979165926554,5,7.098495233349683e-18,1.5872717879728122e-17,5,400.9350852000527,7.122324889976241,no_budget,5,1.2221040351682997,0.05579724183494833
normal,P04,5,0.0,0.0,5,0.0,0.0,5,3.427987498804801,0.4765456514229749,5,0.023380829607510062,0.00338875016438781,1.0,5,0.0,0.0,5,0.21703471563868101,0.013391711353647336,5,44394.13162328679,759.3100337518043,5,0.05832204708874861,0.030729691545389515,5,2.9027346857149636,7.333701324032934,5,7.51378015590286e-18,1.0296462230387973e-17,5,403.28239350011575,16.85345727294822,dynamic_budget,5,0.21703471563868107,0.013391711353647355
normal,P04,5,0.0,0.0,5,0.0,0.0,5,3.427987498804801,0.4765456514229749,5,0.023380829607510062,0.00338875016438781,1.0,5,0.0,0.0,5,0.21703471563868101,0.013391711353647336,5,44394.13162328679,759.3100337518043,5,0.05832204708874861,0.030729691545389515,5,2.9027346857149636,7.333701324032934,5,7.51378015590286e-18,1.0296462230387973e-17,5,411.3598527800292,14.085391453779895,fixed_budget,5,0.21703471563868107,0.013391711353647355
normal,P04,5,0.0,0.0,5,0.0,0.0,5,3.3764707724627008,0.33847207843298127,5,0.013642232600818547,0.0017537160916301282,1.0,5,0.0,0.0,5,0.18530327350352457,0.014751241072449323,5,46193.304392350154,836.39536880788,5,0.05310164516205464,0.011437504261582075,5,17.115975154097015,7.261394469637377,5,0.0,0.0,5,417.0473216199316,6.696612507644918,full_method,5,0.18530327350352457,0.014751241072449316
normal,P04,5,0.0,0.0,5,0.0,0.0,5,3.427987498804801,0.4765456514229749,5,0.023380829607510062,0.00338875016438781,1.0,5,0.0,0.0,5,0.21703471563868101,0.013391711353647336,5,44394.13162328679,759.3100337518043,5,0.05832204708874861,0.030729691545389515,5,2.9027346857149636,7.333701324032934,5,7.51378015590286e-18,1.0296462230387973e-17,5,415.10745558002964,10.804111239068638,no_budget,5,0.21703471563868107,0.013391711353647355
