algorithm,condition,evaluations,event_id,feasible_front_size,hv,igd,seconds,seed_index
NSGA-III,normal,4000,P03,7,0.33364612179903147,0.5455090991741169,36.65945120016113,8
NSGA-III,normal,4000,P03,17,0.7759639332597895,0.20500169125187453,36.90663230000064,9
NSGA-II,normal,4000,P03,9,0.5948633135639342,0.31962793635787956,35.67663250025362,0
NSGA-II,normal,4000,P03,16,0.7077981451772108,0.24204227967522637,35.86378809995949,1
NSGA-II,normal,4000,P03,8,0.34362173788036143,0.5506611378877494,36.88059910014272,2
NSGA-II,normal,4000,P03,7,0.8499393059395417,0.18299046391012555,34.51770780002698,3
NSGA-II,normal,4000,P03,14,0.6212804605943775,0.2995833441374723,35.521885300055146,4
NSGA-II,normal,4000,P03,7,0.311006779035857,0.5618929556558306,35.86551179969683,5
NSGA-II,normal,4000,P03,6,0.20809674263671987,0.702816332582241,37.62288670009002,6
NSGA-II,normal,4000,P03,10,0.635881456291248,0.2884881529383835,34.28524299990386,7
NSGA-II,normal,4000,P03,5,0.6066175902278385,0.32428571577535514,34.224576300010085,8
NSGA-II,normal,4000,P03,25,0.8042873950960426,0.1977873530155801,32.32606379967183,9
SPEA2,normal,4000,P03,4,0.5970613469284107,0.31738487959497413,66.68745379988104,0
SPEA2,normal,4000,P03,7,0.6272228864984536,0.2959914162996206,67.07620649971068,1
SPEA2,normal,4000,P03,5,0.21168137607632778,0.6968772291075592,68.05321979988366,2
SPEA2,normal,4000,P03,11,0.8276353553743429,0.18088227635373133,66.02047969959676,3
SPEA2,normal,4000,P03,9,0.6372810852583339,0.280634504067266,66.68842610018328,4
SPEA2,normal,4000,P03,15,0.5915117970022941,0.32415067222110666,64.02852809987962,5
SPEA2,normal,4000,P03,6,0.3358192841818559,0.577025166043211,72.11459010001272,6
SPEA2,normal,4000,P03,7,0.7727855841899597,0.20141341172404573,64.10540469968691,7
SPEA2,normal,4000,P03,16,0.7434968066283605,0.2347054693388497,64.82813079981133,8
SPEA2,normal,4000,P03,21,0.7249355775414801,0.2366090711278318,64.62680489988998,9
MOABC,normal,4000,P04,11,0.7452434631755886,0.34923652061835103,33.86897419998422,0
MOABC,normal,4000,P04,13,0.7784049785008273,0.3496967001455857,32.664078899659216,1
MOABC,normal,4000,P04,18,0.5277020662594557,0.5530459541737438,32.11199579993263,2
MOABC,normal,4000,P04,9,0.754930232998955,0.3311074861246394,32.91498490003869,3
MOABC,normal,4000,P04,11,0.7244881556427634,0.3899717485034498,30.66775429993868,4
MOABC,normal,4000,P04,9,0.9353960717102031,0.1981191816736581,30.477174799889326,5
MOABC,normal,4000,P04,12,0.37304246032750243,0.6644599847141264,31.949128000065684,6
MOABC,normal,4000,P04,7,0.5578159990544945,0.47880497308351355,32.69003009982407,7
MOABC,normal,4000,P04,14,0.7819902961645891,0.31018200136642887,34.18651970010251,8
MOABC,normal,4000,P04,6,0.4290471390583949,0.5939062711553793,35.1951419999823,9
MOEA/D,normal,4000,P04,21,0.5482021597001722,0.5534188824617268,27.413101899903268,0
MOEA/D,normal,4000,P04,5,0.09755098826549279,1.0371450186577418,27.335208000149578,1
MOEA/D,normal,4000,P04,10,0.13141856672536859,0.9741737949882554,27.328235399909317,2
MOEA/D,normal,4000,P04,11,0.5723737126470634,0.44840802215423864,27.753078900277615,3
MOEA/D,normal,4000,P04,5,0.4679268004134365,0.5330172406047605,27.266657800413668,4
MOEA/D,normal,4000,P04,3,0.4268641620280956,0.5708924619559173,27.429685099981725,5
MOEA/D,normal,4000,P04,10,0.09756388391759227,1.0236631376716303,23.179370699916035,6
MOEA/D,normal,4000,P04,13,0.2845222978307326,0.7601819895509696,27.862682800274342,7
MOEA/D,normal,4000,P04,13,0.5634260597957027,0.4784838560290588,26.701844700146466,8
MOEA/D,normal,4000,P04,4,0.19639491575536455,0.8596460311528829,27.567040000110865,9
MOPSO,normal,4000,P04,11,0.6655757762016987,0.44345790069552843,27.708746599964797,0
MOPSO,normal,4000,P04,7,1.128121591037204,0.07440293259131026,27.10296420007944,1
MOPSO,normal,4000,P04,11,0.7415623372384561,0.36825228012878014,27.61449410021305,2
MOPSO,normal,4000,P04,7,1.1869729786074874,0.05294168046915001,27.34650079999119,3
MOPSO,normal,4000,P04,14,0.6584759793220598,0.4491153311049073,27.622481499798596,4
MOPSO,normal,4000,P04,16,1.303011310652445,0.012055481739536923,27.231100600212812,5
MOPSO,normal,4000,P04,6,0.7461794028951101,0.3419798589484608,26.038389099761844,6
MOPSO,normal,4000,P04,6,1.0516756823717066,0.13181297291766245,26.2246793997474,7
MOPSO,normal,4000,P04,13,0.9414368683491449,0.20729770211202975,27.73360660020262,8
MOPSO,normal,4000,P04,13,1.1024114465184505,0.08652397334386354,27.102751499973238,9
NSGA-III,normal,4000,P04,0,0.33243482283747827,0.6781550977534608,39.311620300170034,0
NSGA-III,normal,4000,P04,0,0.6338258764989183,0.41576193394676647,38.5656288000755,1
NSGA-III,normal,4000,P04,4,0.35994031527748355,0.7142976661661681,35.31770659983158,2
NSGA-III,normal,4000,P04,9,0.5280736279742093,0.5244269586757933,36.647432200144976,3
NSGA-III,normal,4000,P04,13,0.4443889354008089,0.600504644028625,36.547552899923176,4
NSGA-III,normal,4000,P04,11,0.5608533710749231,0.4797281048077548,38.06416889978573,5
NSGA-III,normal,4000,P04,0,0.4992362039857064,0.5566460067078653,38.8227095999755,6
NSGA-III,normal,4000,P04,11,0.6700069525532151,0.3822390503897098,36.91342999972403,7
NSGA-III,normal,4000,P04,11,0.21364895027980302,0.8718355763482618,38.01570300012827,8
NSGA-III,normal,4000,P04,15,0.6747287484102839,0.3678058864457384,36.70013239979744,9
NSGA-II,normal,4000,P04,12,0.4790923125511105,0.5400424410528811,35.163833499886096,0
NSGA-II,normal,4000,P04,0,0.6238946407520841,0.44706428749650945,39.31846769992262,1
NSGA-II,normal,4000,P04,4,0.5707838470745237,0.4580368690540554,38.17757790023461,2
NSGA-II,normal,4000,P04,7,0.537293926590679,0.5081517684919331,36.57435279991478,3
NSGA-II,normal,4000,P04,9,0.6657748952054967,0.4273829945829073,35.44645560020581,4
NSGA-II,normal,4000,P04,19,0.5259335264039657,0.503655579156553,36.378269399981946,5
NSGA-II,normal,4000,P04,0,0.18214415424823244,0.9096120873602479,38.983655999880284,6
NSGA-II,normal,4000,P04,9,0.6081892547106569,0.4042432641394617,34.339124999940395,7
NSGA-II,normal,4000,P04,4,0.32881907320237147,0.7186676637092697,34.76680100010708,8
NSGA-II,normal,4000,P04,13,0.12224909898299784,0.9396583731162674,34.94242569990456,9
SPEA2,normal,4000,P04,6,0.6230751601151344,0.42214802342390534,63.632738899905235,0
SPEA2,normal,4000,P04,3,0.1944835216897489,0.857526750927853,66.05586530035362,1
SPEA2,normal,4000,P04,0,0.18434550040114397,0.8608714262714924,67.91220030002296,2
MOABC,matched,4000,P05,0,1.1987582772162004,0.08266038166528601,24.350034299772233,0
MOABC,matched,4000,P05,6,1.2801141090034478,0.0746744503133115,17.99047639966011,1
MOABC,matched,4000,P05,9,0.9841280830422884,0.2301718581371977,18.119615400210023,2
MOABC,matched,4000,P05,21,0.4172732347649629,0.7113078779217924,17.815665000118315,3
MOABC,matched,4000,P05,43,0.9975740309101244,0.17856630308485172,16.78744710003957,4
MOABC,matched,4000,P05,23,1.1247700132115954,0.10162777858590662,18.719892399851233,5
MOABC,matched,4000,P05,15,1.0224120757597777,0.1940417761297312,17.713687799870968,6
MOABC,matched,4000,P05,0,0.8409378963414299,0.4217538215649774,24.649708000011742,7
MOABC,matched,4000,P05,0,0.9439941426623268,0.28947723904302347,24.939082499593496,8
MOABC,matched,4000,P05,0,0.2911996759213137,0.8345292652027817,24.862125599756837,9
MOEA/D,matched,4000,P05,0,0.5279340397627466,0.5412486157511106,14.466210699640214,0
MOEA/D,matched,4000,P05,11,0.9957606895823904,0.24398712915419946,14.615454699844122,1
MOEA/D,matched,4000,P05,21,1.277207432483541,0.08830268852042313,14.75461950013414,2
MOEA/D,matched,4000,P05,23,1.093145414709807,0.12057558772289163,14.83096529962495,3
MOEA/D,matched,4000,P05,39,1.0836343411598879,0.11488719320893677,14.86644780030474,4
MOEA/D,matched,4000,P05,9,0.6705507541920184,0.5294728809525532,14.63876030035317,5
MOEA/D,matched,4000,P05,20,1.2832537401392263,0.0387346212162872,14.851757800206542,6
MOEA/D,matched,4000,P05,0,1.154785646278832,0.11456134767903427,14.13989849993959,7
MOEA/D,matched,4000,P05,0,0.8591946462585758,0.31167814355847534,14.234044900164008,8
MOEA/D,matched,4000,P05,0,0.8392780613058115,0.3050093073087467,14.458486699964851,9
MOPSO,matched,4000,P05,0,0.3048309794305297,0.8461326866906201,14.778132800012827,0
MOPSO,matched,4000,P05,6,0.8084584412841018,0.35656729111154273,14.642852399963886,1
MOPSO,matched,4000,P05,16,1.0084328588415423,0.20532521754446387,14.509304599836469,2
MOPSO,matched,4000,P05,13,1.1337436450971976,0.1314864230340501,14.73439330002293,3
MOPSO,matched,4000,P05,25,0.8967530548469772,0.2638089778714504,14.543645499739796,4
MOPSO,matched,4000,P05,0,1.0096503093865956,0.2036541105957583,14.334843900054693,5
MOPSO,matched,4000,P05,15,0.35010211641742334,0.7830632116061235,14.395010500214994,6
MOPSO,matched,4000,P05,0,0.9963748191851223,0.20532607493594868,14.435463099740446,7
MOPSO,matched,4000,P05,0,1.0643611241059259,0.1651440177802789,14.5035972003825,8
MOPSO,matched,4000,P05,0,0.8205810317498035,0.33044871193376746,14.225483499933034,9
NSGA-III,matched,4000,P05,0,1.0353852080357855,0.2165580158361155,26.642348299734294,0
NSGA-III,matched,4000,P05,25,0.3245935721438749,0.8175763002691457,21.945281699765474,1
NSGA-III,matched,4000,P05,20,0.7077963460816808,0.4180974536555695,22.20122310006991,2
NSGA-III,matched,4000,P05,14,0.8979472240521981,0.2652430346013408,21.97064909990877,3
MOABC,normal,4000,P05,12,1.0909959910775922,0.12207641281811522,18.311872399877757,0
MOABC,normal,4000,P05,9,1.1637191320186155,0.06242371652011687,18.06429810030386,1
MOABC,normal,4000,P05,5,1.1396292752117234,0.09311799000452303,18.26080169994384,2
MOABC,normal,4000,P05,14,0.9601385616426915,0.2034529317352069,18.219594900030643,3
MOABC,normal,4000,P05,21,1.0607512540794455,0.15380374629181384,18.385139100253582,4
MOABC,normal,4000,P05,10,1.1351456943524556,0.10355727505677072,18.44037749990821,5
MOABC,normal,4000,P05,11,1.1365112789958163,0.06685299517262412,17.958397099748254,6
MOABC,normal,4000,P05,12,1.0517909933991558,0.12347362801479457,18.590238499920815,7
MOABC,normal,4000,P05,11,1.1461198323384367,0.08765295050939508,18.112308700103313,8
MOABC,normal,4000,P05,22,1.0805079556193722,0.14095995192611643,18.731311900075525,9
MOEA/D,normal,4000,P05,14,0.7978047654529841,0.340243549970344,15.041929900180548,0
MOEA/D,normal,4000,P05,11,0.9946646438545825,0.20238575301219444,14.844735200051218,1
MOEA/D,normal,4000,P05,13,0.7230935242273051,0.44167158762570163,14.721775600221008,2
MOEA/D,normal,4000,P05,14,0.8594516116355837,0.3304091582614373,14.534055300056934,3
MOEA/D,normal,4000,P05,10,0.9935595945721791,0.17928623155373744,14.616978099569678,4
MOEA/D,normal,4000,P05,11,1.0581675248373223,0.14375376858409608,14.865296700038016,5
MOEA/D,normal,4000,P05,9,0.8760785518705528,0.2928983756343337,14.98101649992168,6
MOEA/D,normal,4000,P05,17,0.8180330832361564,0.4259091884234512,14.74908720003441,7
MOEA/D,normal,4000,P05,19,1.0717722773929281,0.21199698141630105,14.769460200332105,8
MOEA/D,normal,4000,P05,10,0.9955688077815907,0.22782971658403314,10.901765800081193,9
MOPSO,normal,4000,P05,7,1.189045314644705,0.0867900766765198,7.062354799825698,0
MOPSO,normal,4000,P05,9,1.106817545592481,0.12339785356616616,7.108108900021762,1
MOPSO,normal,4000,P05,6,1.0650586161416145,0.09709061252325604,7.056289100088179,2
MOPSO,normal,4000,P05,3,1.1729847944767715,0.1320199034830571,7.08227329980582,3
MOPSO,normal,4000,P05,6,1.0562193787584224,0.11554863001658179,7.059592400211841,4
MOPSO,normal,4000,P05,11,1.0208334116008755,0.13120419506528513,7.121817099861801,5
MOPSO,normal,4000,P05,4,0.9299512981347667,0.20369963027262084,7.078619399573654,6
MOPSO,normal,4000,P05,3,1.2203363813028365,0.0824845157099641,7.095920400228351,7
MOPSO,normal,4000,P05,8,1.2207549044039472,0.06693803164007793,7.050490099936724,8
MOPSO,normal,4000,P05,2,1.291527238420427,0.12917362169215382,14.49308449961245,9
NSGA-III,normal,4000,P05,16,0.9132718204363074,0.2633223352924005,22.724203600082546,0
NSGA-III,normal,4000,P05,17,1.0093150727974558,0.21701060064337008,22.14356329990551,1
NSGA-III,normal,4000,P05,8,0.8811831246554499,0.2810104322288873,23.223710800055414,2
NSGA-III,normal,4000,P05,15,0.9904941278411595,0.23914767316515623,22.16995169967413,3
NSGA-III,normal,4000,P05,18,0.9304242846781156,0.24623954251870275,21.710642399732023,4
NSGA-III,normal,4000,P05,10,0.9722952079177473,0.20363987282788268,22.338359599933028,5
NSGA-III,normal,4000,P05,18,1.0249243524554215,0.18113236836687754,22.271596199832857,6
NSGA-III,normal,4000,P05,10,1.0448850768095053,0.15560687622688402,22.112521100323647,7
NSGA-III,normal,4000,P05,16,1.0973377836969125,0.13958968749820455,22.174570999573916,8
NSGA-III,normal,4000,P05,23,1.052262852099928,0.1511642511744771,22.106361200101674,9
NSGA-II,normal,4000,P05,27,1.0048674430157367,0.2131574487178118,21.310953200329095,0
NSGA-II,normal,4000,P05,17,1.0346585075593995,0.17772329199807518,20.632290000095963,1
