algorithm,condition,evaluations,event_id,seconds,seed_index
SPEA2,normal,4000,P04,67.91220030002296,2
MOABC,matched,4000,P05,24.350034299772233,0
MOABC,matched,4000,P05,17.99047639966011,1
MOABC,matched,4000,P05,18.119615400210023,2
MOABC,matched,4000,P05,17.815665000118315,3
MOABC,matched,4000,P05,16.78744710003957,4
MOABC,matched,4000,P05,18.719892399851233,5
MOABC,matched,4000,P05,17.713687799870968,6
MOABC,matched,4000,P05,24.649708000011742,7
MOABC,matched,4000,P05,24.939082499593496,8
MOABC,matched,4000,P05,24.862125599756837,9
MOEA/D,matched,4000,P05,14.466210699640214,0
MOEA/D,matched,4000,P05,14.615454699844122,1
MOEA/D,matched,4000,P05,14.75461950013414,2
MOEA/D,matched,4000,P05,14.83096529962495,3
MOEA/D,matched,4000,P05,14.86644780030474,4
MOEA/D,matched,4000,P05,14.63876030035317,5
MOEA/D,matched,4000,P05,14.851757800206542,6
MOEA/D,matched,4000,P05,14.13989849993959,7
MOEA/D,matched,4000,P05,14.234044900164008,8
MOEA/D,matched,4000,P05,14.458486699964851,9
MOPSO,matched,4000,P05,14.778132800012827,0
MOPSO,matched,4000,P05,14.642852399963886,1
MOPSO,matched,4000,P05,14.509304599836469,2
MOPSO,matched,4000,P05,14.73439330002293,3
MOPSO,matched,4000,P05,14.543645499739796,4
MOPSO,matched,4000,P05,14.334843900054693,5
MOPSO,matched,4000,P05,14.395010500214994,6
MOPSO,matched,4000,P05,14.435463099740446,7
MOPSO,matched,4000,P05,14.5035972003825,8
MOPSO,matched,4000,P05,14.225483499933034,9
NSGA-III,matched,4000,P05,26.642348299734294,0
NSGA-III,matched,4000,P05,21.945281699765474,1
NSGA-III,matched,4000,P05,22.20122310006991,2
NSGA-III,matched,4000,P05,21.97064909990877,3
MOABC,normal,4000,P05,18.311872399877757,0
MOABC,normal,4000,P05,18.06429810030386,1
MOABC,normal,4000,P05,18.26080169994384,2
MOABC,normal,4000,P05,18.219594900030643,3
MOABC,normal,4000,P05,18.385139100253582,4
MOABC,normal,4000,P05,18.44037749990821,5
MOABC,normal,4000,P05,17.958397099748254,6
MOABC,normal,4000,P05,18.590238499920815,7
MOABC,normal,4000,P05,18.112308700103313,8
MOABC,normal,4000,P05,18.731311900075525,9
MOEA/D,normal,4000,P05,15.041929900180548,0
MOEA/D,normal,4000,P05,14.844735200051218,1
MOEA/D,normal,4000,P05,14.721775600221008,2
MOEA/D,normal,4000,P05,14.534055300056934,3
MOEA/D,normal,4000,P05,14.616978099569678,4
MOEA/D,normal,4000,P05,14.865296700038016,5
MOEA/D,normal,4000,P05,14.98101649992168,6
MOEA/D,normal,4000,P05,14.74908720003441,7
MOEA/D,normal,4000,P05,14.769460200332105,8
MOEA/D,normal,4000,P05,10.901765800081193,9
MOPSO,normal,4000,P05,7.062354799825698,0
MOPSO,normal,4000,P05,7.108108900021762,1
MOPSO,normal,4000,P05,7.056289100088179,2
MOPSO,normal,4000,P05,7.08227329980582,3
MOPSO,normal,4000,P05,7.059592400211841,4
MOPSO,normal,4000,P05,7.121817099861801,5
MOPSO,normal,4000,P05,7.078619399573654,6
MOPSO,normal,4000,P05,7.095920400228351,7
MOPSO,normal,4000,P05,7.050490099936724,8
MOPSO,normal,4000,P05,14.49308449961245,9
NSGA-III,normal,4000,P05,22.724203600082546,0
